,code,pe_ratio,market_cap
0,002089.XSHE,4.595,26.1187
1,002869.XSHE,6.0767,60.6215
2,002236.XSHE,14.405999999999999,595.8208
3,601138.XSHG,15.7907,2720.2356
4,603890.XSHG,16.6497,44.7963
5,600060.XSHG,17.3297,150.2136
6,002429.XSHE,17.7989,280.6703
7,603380.XSHG,19.58,32.64
8,000823.XSHE,19.9788,61.59
9,000810.XSHE,20.1885,84.9625
10,600260.XSHG,21.2033,108.6928
11,002045.XSHE,21.4738,40.8431
12,002106.XSHE,21.8656,80.7454
13,300256.XSHE,22.0872,59.0089
14,002960.XSHE,22.1419,92.1072
15,002130.XSHE,22.4724,69.6187
16,603118.XSHG,23.3881,80.366
17,300088.XSHE,23.3928,217.5813
18,002217.XSHE,23.6652,127.7731
19,300303.XSHE,23.6753,67.4839
20,002972.XSHE,24.3195,30.9442
21,300701.XSHE,24.5034,34.872
22,600888.XSHG,24.5938,61.8922
23,300543.XSHE,24.7182,28.2809
24,002463.XSHE,24.7458,324.0113
25,002815.XSHE,24.9477,127.4398
26,300735.XSHE,25.4463,105.7358
27,603327.XSHG,25.5465,78.1549
28,300213.XSHE,25.9788,42.3297
29,300077.XSHE,26.076,45.6687
30,003019.XSHE,26.5862,38.5152
31,002952.XSHE,26.9804,25.2262
32,002436.XSHE,27.1503,140.756
33,603989.XSHG,27.3601,106.1723
34,002897.XSHE,27.8332,45.7742
35,002376.XSHE,27.8729,62.7108
36,603115.XSHG,27.9561,31.5952
37,300433.XSHE,27.9995,1341.8987
38,003028.XSHE,28.3683,45.6922
39,605058.XSHG,28.5254,34.3446
40,600667.XSHG,28.8686,199.035
41,600330.XSHG,28.9307,100.8525
42,603228.XSHG,28.9608,257.3253
43,603328.XSHG,28.9666,79.3762
44,300822.XSHE,29.0666,47.4788
45,002519.XSHE,29.0711,46.071000000000005
46,002396.XSHE,29.1669,134.5044
47,002925.XSHE,29.1902,295.13599999999997
48,300582.XSHE,29.2348,34.4401
49,002937.XSHE,29.358,37.0944
50,002484.XSHE,29.4721,85.9437
51,603936.XSHG,29.8177,64.1831
52,002962.XSHE,29.9371,43.5809
53,002845.XSHE,30.410999999999998,63.3117
54,601231.XSHG,30.4696,427.256
55,300632.XSHE,30.6209,43.3496
56,000938.XSHE,30.8308,584.8863
57,603920.XSHG,30.8752,107.1239
58,002913.XSHE,30.9686,89.0314
59,300884.XSHE,31.5277,52.416000000000004
60,300476.XSHE,31.752,167.72
61,002273.XSHE,31.7796,141.1301
62,605258.XSHG,32.3395,32.1464
63,300602.XSHE,32.4466,102.126
64,002660.XSHE,32.8667,22.0559
65,300232.XSHE,32.8829,92.4301
66,002214.XSHE,32.9553,126.2251
67,300686.XSHE,33.1755,40.9872
68,002456.XSHE,33.2513,355.1666
69,688181.XSHG,33.4464,51.7771
70,002194.XSHE,33.4652,100.8422
71,603803.XSHG,34.4081,46.5266
72,300790.XSHE,34.782,38.3047
73,000050.XSHE,35.3012,362.272
74,002415.XSHE,35.3377,4532.4917
75,002855.XSHE,35.3923,26.0732
76,002296.XSHE,35.5844,27.0811
77,605218.XSHG,35.6282,30.4565
78,300114.XSHE,35.7166,88.3187
79,600764.XSHG,35.8639,257.3189
80,002916.XSHE,36.1302,528.7644
81,300393.XSHE,36.2375,101.1019
82,300042.XSHE,36.6904,28.0961
83,002449.XSHE,36.7042,63.0847
84,688668.XSHG,36.7629,25.541999999999998
85,601869.XSHG,36.9982,204.9375
86,300136.XSHE,37.0172,347.1636
87,300563.XSHE,37.1526,24.9968
88,605118.XSHG,37.4501,61.4333
89,688093.XSHG,37.5667,42.6732
90,000977.XSHE,37.5956,390.7603
91,300120.XSHE,37.6966,48.6773
92,600183.XSHG,37.7264,644.8529
93,300127.XSHE,37.7802,55.4842
94,002138.XSHE,38.647,197.7093
95,300739.XSHE,38.7928,54.4102
96,300787.XSHE,39.1605,53.0033
97,300709.XSHE,39.183,61.0272
98,002947.XSHE,39.3379,52.2936
99,002993.XSHE,39.5654,119.9789
100,603186.XSHG,39.5957,46.2784
101,002835.XSHE,40.1885,27.6575
102,002222.XSHE,40.2458,58.8668
103,688618.XSHG,40.3525,27.1131
104,002981.XSHE,40.4263,26.784000000000002
105,002955.XSHE,40.8082,51.7126
106,688081.XSHG,40.8085,22.2934
107,300679.XSHE,41.2448,95.3878
108,600745.XSHG,41.3295,1232.4884
109,002579.XSHE,41.3578,62.7388
110,688788.XSHG,41.4656,100.6871
111,300394.XSHE,41.5553,105.8963
112,300870.XSHE,41.5638,69.4333
113,000063.XSHE,41.5967,1552.4208
114,603160.XSHG,41.7505,711.9007
115,002970.XSHE,41.8359,91.6013
116,688100.XSHG,41.8958,110.55
117,002281.XSHE,42.1405,202.6562
118,002866.XSHE,42.2886,50.5814
119,603516.XSHG,42.3476,43.056000000000004
120,003015.XSHE,42.4768,41.907
121,002861.XSHE,42.5128,24.4218
122,688086.XSHG,42.7134,74.5344
123,002036.XSHE,42.8978,108.3524
124,300811.XSHE,43.1539,42.2611
125,300327.XSHE,43.4222,91.0417
126,300627.XSHE,43.5656,77.6075
127,300155.XSHE,43.6555,37.2752
128,002745.XSHE,44.043,216.5399
129,002938.XSHE,44.1352,1148.0876
130,600363.XSHG,44.1775,112.1839
131,600498.XSHG,44.2532,281.7728
132,000988.XSHE,44.258,233.1761
133,300852.XSHE,44.3976,51.7185
134,002859.XSHE,44.5894,104.2309
135,600980.XSHG,45.1481,21.2948
136,002782.XSHE,45.3003,63.2424
137,002119.XSHE,45.3867,38.6167
138,002983.XSHE,46.1581,43.5949
139,002465.XSHE,46.2957,249.5718
140,002402.XSHE,46.4677,157.8507
141,600345.XSHG,46.7263,34.9668
142,300566.XSHE,46.9488,49.928000000000004
143,000561.XSHE,47.2065,43.3564
144,300843.XSHE,47.5231,43.583
145,300502.XSHE,47.65,200.951
146,002231.XSHE,47.9612,17.3048
147,002841.XSHE,47.9877,768.6395
148,300308.XSHE,48.0114,362.7158
149,000100.XSHE,48.0913,993.3798
150,300909.XSHE,48.3794,53.3292
151,688036.XSHG,49.7464,1217.12
152,002992.XSHE,50.1272,37.0011
153,300657.XSHE,50.3619,54.0286
154,600563.XSHG,50.7533,241.9875
155,300857.XSHE,50.7701,60.9965
156,688288.XSHG,50.7768,38.33
157,600234.XSHG,50.8755,18.9894
158,600271.XSHG,51.166000000000004,233.459
159,300531.XSHE,52.0026,51.6239
160,002413.XSHE,52.0223,77.9007
161,002189.XSHE,52.06,54.0014
162,600353.XSHG,52.2494,29.4153
163,300628.XSHE,52.3651,659.8989
164,002241.XSHE,52.3845,1211.0728
165,002351.XSHE,52.5297,119.3182
166,688123.XSHG,52.5454,72.6864
167,300570.XSHE,52.5772,39.2375
168,300638.XSHE,52.9837,144.805
169,002935.XSHE,53.146,58.2002
170,000021.XSHE,53.4391,279.6864
171,600552.XSHG,53.6689,52.5552
172,002289.XSHE,53.9785,22.7286
173,002388.XSHE,54.0958,28.4628
174,002885.XSHE,54.2341,27.684
175,300504.XSHE,54.3917,49.2833
176,600171.XSHG,54.5478,98.7179
177,300227.XSHE,54.918,51.3403
178,300916.XSHE,55.2051,44.8367
179,688519.XSHG,55.6315,73.7891
180,300408.XSHE,56.1233,676.7975
181,300390.XSHE,56.1497,135.6139
182,000547.XSHE,56.2071,441.491
183,603528.XSHG,56.4126,56.9116
184,002636.XSHE,56.7025,67.1944
185,300514.XSHE,56.9343,23.9
186,300802.XSHE,57.2593,50.8639
187,300847.XSHE,57.2652,48.3483
188,600130.XSHG,57.3242,28.8
189,603386.XSHG,57.4021,34.931
190,300691.XSHE,57.5273,28.993000000000002
191,002384.XSHE,57.725,444.5655
192,300835.XSHE,58.0992,35.0523
193,603390.XSHG,58.1731,37.103
194,300455.XSHE,58.3624,84.1942
195,003026.XSHE,58.3929,47.0468
196,002587.XSHE,59.1719,34.1415
197,300590.XSHE,59.2624,74.2395
198,002475.XSHE,60.3826,3928.4385
199,300373.XSHE,61.8259,209.7143
200,300083.XSHE,61.9551,168.2868
201,002583.XSHE,62.3311,112.9498
202,300793.XSHE,62.6737,49.8973
203,688080.XSHG,62.8964,28.6785
204,002180.XSHE,63.0119,287.2013
205,603678.XSHG,63.4284,327.2775
206,603005.XSHG,63.7729,206.9504
207,688020.XSHG,63.9828,76.168
208,002179.XSHE,64.3632,861.8818
209,300842.XSHE,65.2444,69.19
210,002185.XSHE,65.8682,373.1885
211,600584.XSHG,65.9437,682.3437
212,002362.XSHE,66.1846,53.0322
213,002888.XSHE,66.3331,20.8085
214,300458.XSHE,67.1695,106.62200000000001
215,002025.XSHE,67.6881,279.6222
216,300689.XSHE,67.9379,28.2948
217,603633.XSHG,67.9812,25.3752
218,002600.XSHE,68.3215,844.5395
219,300331.XSHE,68.3471,50.6123
220,600990.XSHG,68.4019,73.9865
221,002655.XSHE,68.4217,26.1
222,603595.XSHG,70.3305,42.7128
223,002104.XSHE,72.0871,48.5754
224,300752.XSHE,72.4151,44.0564
225,300397.XSHE,72.4262,83.8512
226,300762.XSHE,74.1417,92.7484
227,300296.XSHE,74.1599,161.7285
228,603019.XSHG,74.3405,496.5845
229,300726.XSHE,74.3983,289.4724
230,688208.XSHG,75.46,308.295
231,300656.XSHE,75.8395,31.0038
232,300078.XSHE,76.1297,78.6817
233,002876.XSHE,76.5031,61.1395
234,000066.XSHE,76.6938,556.0618
235,002829.XSHE,76.7456,67.7729
236,688595.XSHG,76.9282,64.87
237,300903.XSHE,77.4895,72.8644
238,300666.XSHE,78.4038,111.0271
239,300807.XSHE,78.4855,24.6842
240,688007.XSHG,78.8863,83.9864
241,600288.XSHG,79.0502,44.5536
242,603712.XSHG,79.2352,321.538
243,688138.XSHG,79.4538,61.5774
244,300115.XSHE,80.0125,246.7111
245,603068.XSHG,80.7486,118.2949
246,688025.XSHG,80.8646,40.3743
247,688418.XSHG,81.9218,50.4935
248,000725.XSHE,82.1284,2087.9038
249,603267.XSHG,82.4588,298.0485
250,000801.XSHE,83.6829,63.3117
251,002134.XSHE,84.1462,20.7743
252,300866.XSHE,84.1551,667.5973
253,300546.XSHE,84.525,23.237
254,000733.XSHE,84.6274,302.9631
255,603042.XSHG,84.7075,18.9584
256,002414.XSHE,84.9767,664.5986
257,300620.XSHE,85.3389,44.9693
258,300623.XSHE,86.1983,213.58599999999998
259,688002.XSHG,87.32,493.95
260,688008.XSHG,87.7495,936.3898
261,300548.XSHE,89.6499,52.1129
262,300743.XSHE,89.7169,15.475999999999999
263,000636.XSHE,90.8641,301.6936
264,688011.XSHG,91.4494,51.2
265,002079.XSHE,91.6472,79.1931
266,688396.XSHG,92.9232,759.8317
267,000970.XSHE,93.5937,100.6614
268,300414.XSHE,94.454,37.9938
269,688135.XSHG,95.0792,58.5292
270,688055.XSHG,95.3991,279.3333
271,300711.XSHE,96.2179,36.6281
272,603501.XSHG,97.4694,2005.0222
273,002796.XSHE,97.7639,41.0446
274,300831.XSHE,100.9537,62.592
275,300516.XSHE,103.1548,56.898
276,300474.XSHE,105.4908,210.6027
277,300456.XSHE,105.8424,152.2388
278,300065.XSHE,105.8743,57.2972
279,002156.XSHE,108.8123,335.4489
280,603236.XSHG,111.38600000000001,200.0557
281,600703.XSHG,111.5617,1209.8701
282,002049.XSHE,111.9601,811.9831
283,603986.XSHG,112.2008,931.4627
284,300747.XSHE,112.4919,253.0368
285,603893.XSHG,112.9244,300.8877
286,688388.XSHG,114.3553,203.4941
287,300672.XSHE,114.6156,78.9611
288,300782.XSHE,115.1295,1026.972
289,688019.XSHG,118.7592,158.1568
290,688981.XSHG,119.3556,4448.7749
291,300629.XSHE,119.571,30.1721
292,002017.XSHE,121.073,40.8088
293,600118.XSHG,122.955,380.525
294,600776.XSHG,127.0186,148.836
295,000586.XSHE,128.8691,14.0437
296,000045.XSHE,128.9543,36.4073
297,002977.XSHE,130.4313,99.52799999999999
298,002906.XSHE,132.0821,127.5478
299,002389.XSHE,134.4757,314.5658
300,688286.XSHG,137.9038,66.2287
301,300919.XSHE,138.3919,465.51800000000003
302,002766.XSHE,139.8801,19.0211
303,300079.XSHE,143.4282,66.7347
304,605111.XSHG,144.93200000000002,197.8865
305,603773.XSHG,146.5248,25.607
306,300319.XSHE,150.3921,61.9616
307,603025.XSHG,154.0969,252.5479
308,300661.XSHE,156.75799999999998,412.5231
309,002387.XSHE,159.7755,155.9136
310,688311.XSHG,159.7763,137.4893
311,300346.XSHE,165.5667,164.0177
312,002729.XSHE,168.0618,31.0329
313,600360.XSHG,168.1586,79.8005
314,002881.XSHE,171.1836,36.5756
315,300581.XSHE,177.1195,77.3779
316,300211.XSHE,187.835,20.0069
317,300101.XSHE,190.1354,89.8432
318,002115.XSHE,194.5322,43.663000000000004
319,603023.XSHG,212.0739,24.2818
320,603933.XSHG,212.8444,22.357
321,600405.XSHG,224.4472,36.8829
322,300322.XSHE,225.9409,53.3682
323,300615.XSHE,228.1226,24.9538
324,300076.XSHE,228.7668,21.7088
325,603290.XSHG,232.4936,385.44
326,600775.XSHG,237.4226,68.4465
327,002902.XSHE,239.5407,27.489
328,300479.XSHE,259.8357,23.9911
329,688313.XSHG,274.4462,108.1856
330,688608.XSHG,283.1206,397.2
331,600435.XSHG,291.3559,134.0388
332,688027.XSHG,318.5466,188.544
333,605358.XSHG,322.7072,482.2983
334,600562.XSHG,366.9507,211.3642
335,000020.XSHE,407.93199999999996,28.2878
336,300555.XSHE,513.6093,18.56
337,688005.XSHG,547.1258,228.4694
338,300708.XSHE,664.0751,68.945
339,300220.XSHE,674.5404,28.0022
340,300647.XSHE,754.2747,43.8286
341,603496.XSHG,1255.9857,31.8562
342,002199.XSHE,1607.7788,16.9436
343,603106.XSHG,1766.757,28.8688
344,300223.XSHE,2654.7037,429.0674
345,600460.XSHG,3942.9314,328.0154
346,002137.XSHE,6290.2577,35.9208
347,002369.XSHE,49643.8581,30.0497
